county_code,birthyr,htcode,eduyear,male,minor,term,famineseverity,age,born4960,year,lgdp,lpopulation,lpopu_agri,lrevenue,lexpenditure,lexpen_agri,lrevenue_agri,datapart2,lgdp1,lgrain
110101,1954,131082,19,1,0,1,.34615389,49,1,1995,19.271215,13.369225,,19.904804,20.065699,0,11.407576,,,
110101,1954,131082,19,1,0,1,.34615389,49,1,1996,19.64151,13.369225,,20.944111,21.102962,0,15.030423,,,
110101,1954,131082,19,1,0,1,.34615389,49,1,1997,21.435156,13.369225,,20.498421,20.682203,0,14.220976,,,
110101,1954,131082,19,1,0,1,.34615389,49,1,1998,21.572134,13.353477,,20.67396,20.877943,0,15.267124,,,
110101,1954,131082,19,1,0,1,.34615389,49,1,1999,21.703979,13.353477,,20.854961,21.178574,0,15.948493,,,
110101,1954,131082,19,1,0,1,.34615389,49,1,2000,21.832567,13.353477,,21.300047,21.164774,0,0,,,
110101,1954,131082,19,1,0,1,.34615389,49,1,2001,21.987766,13.353477,,21.567892,21.271461,0,0,,,
110101,1954,131082,19,1,0,1,.34615389,49,1,2002,23.692274,,,21.543081,21.519669,0,0,,,
110105,1965,321084,23,1,0,1,.58892131,42,0,1997,22.494993,14.173185,12.206078,21.04384,21.162191,16.03797,16.691896,,,
110105,1965,321084,23,1,0,1,.58892131,42,0,1998,22.669176,14.193948,12.206078,21.26844,21.350792,16.498585,16.970808,,,
110105,1965,321084,23,1,0,1,.58892131,42,0,1999,22.785137,14.214288,12.154784,21.422018,21.495695,16.281914,18.400274,,,
110105,1965,321084,23,1,0,1,.58892131,42,0,2000,22.907175,14.234221,12.154784,22.043762,21.656107,16.284458,17.4552,,,
110105,1965,321084,23,1,0,1,.58892131,42,0,2001,24.532148,14.260197,12.100718,22.245764,21.875402,16.859556,16.370409,,,
110105,1965,321084,23,1,0,1,.58892131,42,0,2002,24.664274,,,22.383295,21.983994,17.327057,16.260464,,,
110105,1965,321084,23,1,0,1,.58892131,42,0,2003,24.935394,,,22.447464,22.084518,18.181154,16.645187,,,
110105,1965,321084,23,1,0,1,.58892131,42,0,2004,,,,22.643427,22.249651,18.651077,16.193203,,,
110105,1965,321084,23,1,0,1,.58892131,42,0,2005,25.535776,,,22.857258,22.508657,18.774853,0,,,
110105,1965,321084,23,1,0,1,.58892131,42,0,2006,25.651129,,,23.067753,22.807266,18.991943,0,,,
110108,1954,511722,19,1,0,1,.68440711,49,1,1995,23.191366,14.173185,11.849405,20.524986,20.771828,15.15314,15.70258,,,
110108,1954,511722,19,1,0,1,.68440711,49,1,1996,23.508894,14.173185,11.849405,21.491747,21.57407,15.578527,15.855432,,,
110108,1954,511722,19,1,0,1,.68440711,49,1,1997,23.499598,14.200773,11.849405,21.017345,21.297691,15.883638,15.976532,,,
110108,1954,511722,19,1,0,1,.68440711,49,1,1998,23.62962,14.240779,11.775297,21.257692,21.656551,15.994798,16.132984,,,
110108,1954,511722,19,1,0,1,.68440711,49,1,1999,23.806093,14.266587,11.775297,21.504011,21.788607,16.147655,18.302685,,,
110108,1954,511722,19,1,0,1,.68440711,49,1,2000,23.975189,14.279245,11.695255,21.753668,22.022085,16.495848,15.912301,,,
110108,1954,511722,19,1,0,1,.68440711,49,1,2001,24.23666,14.328335,11.695255,21.968069,22.094898,16.494474,16.463102,,,
110108,1954,511722,19,1,0,1,.68440711,49,1,2002,24.972303,,,22.155678,22.259529,16.80924,16.612791,,,
110109,1952,110114,15,1,0,1,.30714288,51,1,1995,20.97175,14.731802,11.512936,17.637827,19.120605,15.555977,14.518608,,,
110109,1952,110114,15,1,0,1,.30714288,51,1,1996,20.918207,12.388398,11.407576,18.593288,20.109226,15.503759,14.397727,,,
110109,1952,110114,15,1,0,1,.30714288,51,1,1997,20.88237,12.388398,11.407576,18.37965,19.715654,15.9544,14.144815,,,
110109,1952,110114,15,1,0,1,.30714288,51,1,1998,21.076546,12.388398,11.407576,18.754221,19.934906,16.023785,14.859315,,,
110109,1952,110114,15,1,0,1,.30714288,51,1,1999,21.274595,12.388398,11.289794,19.472305,20.271023,16.125071,15.371548,,,
110109,1952,110114,15,1,0,1,.30714288,51,1,2000,21.42761,12.345839,11.289794,19.463711,20.529268,16.112078,15.236207,,,
110109,1952,110114,15,1,0,1,.30714288,51,1,2001,21.600096,12.345839,11.289794,19.701199,20.637882,16.217941,13.87378,,,
110109,1952,110114,15,1,0,1,.30714288,51,1,2002,21.765871,,,19.957031,20.754774,16.608515,14.538217,,,
110111,1955,110112,16,1,0,1,.29209623,49,1,1995,22.373968,13.541075,13.142168,18.889496,19.547394,15.768538,15.984565,,,
110111,1954,320115,16,1,0,1,.57299274,44,1,1995,22.373968,13.541075,13.142168,18.889496,19.547394,15.768538,15.984565,,,
110111,1954,320115,16,1,0,1,.57299274,44,1,1996,22.340929,13.52783,13.122365,19.837164,20.621687,16.074144,15.979982,,,
110111,1955,110112,16,1,0,1,.29209623,49,1,1996,22.340929,13.52783,13.122365,19.837164,20.621687,16.074144,15.979982,,,
110111,1955,110112,16,1,0,1,.29209623,49,1,1997,22.481123,13.52783,13.122365,19.301842,20.017641,15.994798,16.348413,,,
110111,1954,320115,16,1,0,1,.57299274,44,1,1997,22.481123,13.52783,13.122365,19.301842,20.017641,15.994798,16.348413,,,
110111,1955,110112,16,1,0,1,.29209623,49,1,1998,22.621935,13.52783,13.102162,19.460321,20.178074,16.132984,16.189486,,,
110111,1955,110112,16,1,0,1,.29209623,49,1,1999,22.739502,13.52783,13.102162,19.627071,20.314966,16.456709,16.565342,,,
110111,1955,110112,16,1,0,1,.29209623,49,1,2000,22.855062,13.52783,13.081544,20.024925,20.67523,16.549879,15.81157,,,
110111,1955,110112,16,1,0,1,.29209623,49,1,2001,22.966101,13.52783,13.081544,20.237036,20.939184,16.854782,15.879839,,,
110111,1955,110112,16,1,0,1,.29209623,49,1,2002,23.106508,,,20.525314,21.166714,17.037979,16.483433,,,
110111,1955,110112,16,1,0,1,.29209623,49,1,2003,23.670334,,,20.602228,21.292267,18.470898,17.070139,,,
110112,1952,130185,19,1,0,1,.096952923,52,1,1994,23.362869,12.948012,12.468441,18.24597,19.197664,15.585365,15.608935,1,20.587091,13.15449
110112,1952,130185,19,1,0,1,.096952923,52,1,1995,22.19002,12.948012,12.468441,18.566252,19.361275,15.71163,15.953221,,,
110112,1952,130185,19,1,0,1,.096952923,52,1,1996,22.149622,12.948012,12.468441,19.303663,20.336042,15.948493,16.316946,,,
110112,1952,130185,19,1,0,1,.096952923,52,1,1997,22.116474,13.304687,12.971542,18.9951,19.643103,15.936574,16.563423,,,
110112,1952,130185,19,1,0,1,.096952923,52,1,1998,22.216169,13.304687,12.971542,19.238432,19.883242,16.144737,16.833494,1,20.730192,12.85549
110112,1952,130185,19,1,0,1,.096952923,52,1,1999,22.333508,13.304687,12.948012,19.505127,20.18351,16.266516,17.300436,,,
110112,1952,130185,19,1,0,1,.096952923,52,1,2000,22.465546,13.304687,12.923915,19.648127,20.66696,16.075188,16.792061,,,
110112,1952,130185,19,1,0,1,.096952923,52,1,2001,22.626997,13.304687,12.923915,19.921776,20.786757,16.159237,16.282763,,,
110112,1952,130185,19,1,0,1,.096952923,52,1,2002,22.920799,,,20.309855,21.064384,16.802706,16.873278,,,
110112,1952,130185,19,1,0,1,.096952923,52,1,2003,23.079016,,,20.501247,21.336369,18.78038,16.683409,,,
110113,1954,110113,,1,0,1,.27946126,49,1,1993,23.083275,13.180634,13.017005,19.372339,19.028706,14.84513,15.613914,,,
