pdevr,prov,death,mortality
1.3910391,西藏,,
15.193889,黑龙江,1.21,1.15
16.936455,吉林,.94,1.1799999
17.763121,新疆,0,1.54
18.065746,上海,0,.70999998
18.487993,内蒙古,0,.97000003
21.214331,北京,0,.99000001
23.841307,陕西,1.02,1.3099999
25.211536,山西,.37,1.13
28.50276,辽宁,1.71,1.36
32.98988,河北,1.1,1.39
34.256042,江西,1.0599999,1.35
35.892143,宁夏,0,1.35
36.299614,广东,1.71,1.24
36.986225,浙江,.55000001,1.08
37.053532,福建,2.02,1.17
38.59597,云南,4.1900001,1.87
39.452579,山东,3.3800001,2.01
41.377918,天津,0,1.01
43.616001,江苏,2.8800001,1.55
43.671497,湖北,2.2,1.49
45.196472,甘肃,6.4499998,2.3399999
45.918636,河南,6.1199999,2.1300001
48.149551,广西,4.6300001,2.22
49.375401,青海,0,2.3
53.96439,贵州,10.23,2.6400001
54.390533,重庆,,
56.124325,湖南,6.8099999,2
63.209927,四川,13.07,4.3499999
65.622055,安徽,18.370001,3.1099999
