birthyr,csize
1891,1.0588236
1892,1
1893,1.1777778
1894,1.1578947
1895,1.226415
1896,1.2298137
1897,1.3072916
1898,1.336
1899,1.4786586
1900,1.8724697
1901,2.1937172
1902,2.2716928
1903,2.8571429
1904,3.4249699
1905,3.8939891
1906,4.5223737
1907,4.7919922
1908,5.7228913
1909,6.8077617
1910,7.6643109
1911,8.1883564
1912,8.9856176
1913,10.684079
1914,12.92945
1915,13.008237
1916,14.273399
1917,15.737612
1918,16.583199
1919,18.579288
1920,20.211508
1921,20.559296
1922,21.62641
1923,23.456013
1924,25.196472
1925,26.843153
1926,25.709368
1927,27.41247
1928,30.632587
1929,28.94952
1930,32.719173
1931,30.364143
1932,31.566879
1933,36.945324
1934,34.480511
1935,34.9753
1936,36.667995
1937,36.429142
1938,37.061161
1939,33.244446
1940,36.587769
1941,39.500797
1942,37.42823
1943,37.536568
1944,42.150002
1945,42.420509
1946,45.783226
1947,50.274742
1948,51.164825
1949,59.316998
1950,57.70853
1951,61.311218
1952,72.958237
1953,70.354836
1954,75.905434
1955,74.410233
1956,70.973289
1957,75.760445
1958,63.714062
1959,48.78566
1960,49.241241
1961,45.403008
1962,89.863205
1963,111.03465
1964,97.041664
1965,101.38902
1966,108.42565
1967,96.416992
1968,119.08576
1969,106.3967
1970,111.78521
1971,109.73249
1972,107.58176
1973,107.31915
1974,105.31467
1975,97.662987
1976,92.838455
1977,85.25692
1978,87.691399
1979,91.618484
1980,81.604103
1981,91.048111
1982,98.351738
1983,86.702446
1984,89.920349
1985,91.791962
1986,104.28504
1987,114.29337
1988,104.10032
1989,105.64297
1990,40.431213
