county_code,year,birthyr,htcode,eduyear,male,minor,term,famineseverity,age,born4960,famprov,lgdp,lpopulation,lpopu_agri,lrevenue,lexpenditure,lexpen_agri,lrevenue_agri,lgdp1,lgrain
110101,2002,1954,131082,19,1,0,1,.34615389,49,1,0,23.692274,,,21.543081,21.519669,0,0,,
110105,2006,1965,321084,23,1,0,1,.58892131,42,0,0,25.651129,,,23.067753,22.807266,18.991943,0,,
110108,2002,1954,511722,19,1,0,1,.68440711,49,1,1,24.972303,,,22.155678,22.259529,16.80924,16.612791,,
110109,2002,1952,110114,15,1,0,1,.30714288,51,1,0,21.765871,,,19.957031,20.754774,16.608515,14.538217,,
110111,1997,1954,320115,16,1,0,1,.57299274,44,1,0,22.481123,13.52783,13.122365,19.301842,20.017641,15.994798,16.348413,,
110111,2003,1955,110112,16,1,0,1,.29209623,49,1,0,23.670334,,,20.602228,21.292267,18.470898,17.070139,,
110112,2003,1952,130185,19,1,0,1,.096952923,52,1,0,23.079016,,,20.501247,21.336369,18.78038,16.683409,,
110113,1997,1952,110113,,1,0,1,.27946126,46,1,0,22.501602,13.199327,12.994533,19.216204,20.009752,16.346027,16.677711,,
110113,2002,1954,110113,,1,0,1,.27946126,49,1,0,23.309881,,,20.484856,21.183226,17.277176,16.61462,,
110114,2005,1952,110113,19,1,0,1,.27946126,54,1,0,23.666124,,,21.000898,21.666498,19.209501,0,,
110115,2002,1952,130636,,1,0,1,.26666668,51,1,0,22.842169,,,20.529633,21.18038,16.61462,16.896044,21.03194,11.837426
110116,2003,1957,140830,,1,0,1,.29577467,47,1,0,22.523325,,,20.095701,21.243095,18.573145,14.86283,20.011446,10.318275
110228,2002,1965,110111,19,1,0,1,.15073527,38,0,0,22.392859,,,20.479574,21.136415,16.994814,15.598902,20.610634,10.462874
110229,2001,1957,140830,,1,0,1,.29577467,45,1,0,21.739222,12.506181,12.206078,19.185404,20.569218,17.105032,15.088077,20.510754,11.904833
110229,2003,1963,411423,19,1,0,1,.35070136,41,0,1,22.043716,,,19.4366,20.856239,18.512257,14.639687,20.519238,11.028499
120104,2001,1953,130622,,1,0,1,.26750451,49,1,0,21.709084,13.67625,,19.365948,20.028057,0,0,,
120106,2000,1950,131026,19,1,0,1,.39331621,51,1,0,21.493374,13.199327,,18.804514,19.487906,0,0,,
120113,2001,1954,131026,,1,0,1,.39331621,48,1,0,22.848686,12.67608,12.206078,19.894093,19.982586,16.123083,16.590597,,
120221,2005,1959,130629,19,1,0,1,.34328359,47,1,0,22.509007,,,19.588322,20.141249,17.265816,0,20.994514,11.388042
